#{"t_start": 1763988852.6033514, "env_id": "None"}
r,l,t
-16.4,15,0.246455
-15.0,2,0.260442
-22.1,3,0.265447
-7.3,17,0.32894
-25.4,26,0.422662
-29.1,13,0.463462
296.8,113,0.844496
175.7,59,1.032721
790.7,200,1.834636
-530.4,200,2.725893
-209.0,76,3.028663
858.5,200,3.683767
-503.9,200,4.420328
644.0,174,4.986316
-228.8,97,5.288926
42.914431,200,6.007226
654.5,200,6.638766
-454.5,200,7.370467
797.7,200,8.139662
-86.1,37,8.45664
838.3,200,9.484318
919.6,200,10.399265
-306.3,200,11.071112
162.8,200,11.78903
768.4,200,12.418751
900.9,200,13.109675
958.0,200,13.761678
-482.1,200,14.478443
-118.3,200,15.155366
201.8,162,16.040399
960.9,200,16.917344
192.9,200,17.637876
-63.0,16,17.706773
968.8,200,18.349201
955.0,200,19.068357
963.8,200,19.716098
886.9,200,20.464282
968.0,200,21.114744
-105.1,200,21.918381
774.7,200,22.567872
-439.0,200,23.289842
965.0,200,24.01876
558.9,200,24.71042
-20.1,2,24.725462
-420.2,200,25.401853
960.0,200,26.087957
853.0,200,26.78545
907.0,200,27.435066
972.9,200,28.270479
-573.0,200,28.924782
973.0,200,29.648268
969.0,200,30.293863
-570.1,200,31.047349
-455.0,200,31.696016
411.9,200,32.41536
377.0,200,33.113768
804.9,200,33.906006
973.0,200,34.572951
689.0,200,35.373617
532.0,200,36.018877
934.9,200,39.681211
639.0,200,40.394142
975.0,200,41.202699
571.9,200,41.871637
911.0,200,42.643993
939.0,200,43.313697
953.0,200,44.094328
288.0,111,44.446312
883.9,200,45.236951
954.0,200,45.977721
969.0,200,46.781164
82.0,200,47.41486
921.0,200,48.220816
956.0,200,48.880317
891.0,200,49.624112
985.0,200,50.26117
883.9,200,50.997551
979.9,200,51.702221
945.0,200,52.597751
969.0,200,53.231608
884.0,200,53.920837
985.0,200,54.572539
985.0,200,55.280384
945.0,200,55.927483
854.8,200,56.618195
961.0,200,57.268621
921.0,200,58.078382
980.0,200,58.712003
971.9,200,59.558886
945.0,200,60.188219
985.0,200,60.989554
985.0,200,61.657491
985.0,200,62.453617
929.0,200,63.090668
